"cnt","rpc","ro","blur_radius","filter_outliers","outlier_filter_threshold","normalize_brightness","distances_10","laser_position"
1,0.0032974349,-0.0049493038,2,1,1,1,"-1, -1, 314, 319, 326, 268, 333, 303, 291, 302","bottom"
2,0.0032974349,-0.0049493038,2,1,1,0,"-1, 288, 296, 324, 345, 309, 287, 327, 320, 297","bottom"
3,0.0032974349,-0.0049493038,2,1,1,0,"1318, 4552, 7479, 185, 180, 181, 187, 2327, 4495, 4495","top"
4,0.0032974349,-0.0049493038,2,1,2.5,0,"2271, 3251, 390, 390, 381, 368, 368, 368, 368, 368","top"
5,0.0032974349,-0.0049493038,2,1,1,0,"400, 382, 398, 499, 549, 779, 1251, 593, 333, 4360","top"
6,0.0032974349,-0.0049493038,2,1,1,0,"400, 385, 394, 507, 551, 781, 1121, 609, 333, 4552","top"
7,0.0032974349,-0.0049493038,2,1,0.9,0,"403, 386, 397, 513, 543, 835, 955, 600, 335, 4352","top"
8,0.0032974349,-0.0049493038,2,1,0.7,0,"1771, 4495, 5253, 999, -1, 817, 787, 854, 701, 4552","top"
9,0.0032974349,-0.0049493038,2,1,0.5,0,"1697, 4552, 4552, 835, -1, 827, 747, 803, -1, 4552","top"
10,0.0032974349,-0.0049493038,3,1,0.3,1,"-1, 4552, -1, 854, -1, 907, 813, -1, -1, 6832","top"
